slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,cap_roundness_zone,stem_width,stem_width_zone,assigned_value,cap_roundness_extremity,stem_width_extremity,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,ring_thickness,spot_radius,scale,requested_cap_zone,requested_stem_zone,in_neutral_rectangle
black-neutral-neutral-c1.184-s06-3a91fb1c,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.184-s06-3a91fb1c.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.184-s06-3a91fb1c.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.184-s06-3a91fb1c.png,black,"(0, 0, 0)",1.184,neutral,6,neutral,5,0.0,0.0,0.0,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c0.947-s07-807a2a99,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c0.947-s07-807a2a99.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.947-s07-807a2a99.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.947-s07-807a2a99.png,black,"(0, 0, 0)",0.947,neutral,7,neutral,4,0.0,0.0,0.01,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c1.206-s10-d08bc8a1,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.206-s10-d08bc8a1.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.206-s10-d08bc8a1.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.206-s10-d08bc8a1.png,black,"(0, 0, 0)",1.206,neutral,10,neutral,4,0.0,0.0,0.02,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c1.154-s06-e8bb0c98,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.154-s06-e8bb0c98.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.154-s06-e8bb0c98.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.154-s06-e8bb0c98.png,black,"(0, 0, 0)",1.154,neutral,6,neutral,4,0.0,0.0,0.03,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c0.931-s08-5f497494,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c0.931-s08-5f497494.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.931-s08-5f497494.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.931-s08-5f497494.png,black,"(0, 0, 0)",0.931,neutral,8,neutral,4,0.0,0.0,0.04,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c1.137-s09-fa3d4cbf,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.137-s09-fa3d4cbf.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.137-s09-fa3d4cbf.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.137-s09-fa3d4cbf.png,black,"(0, 0, 0)",1.137,neutral,9,neutral,6,0.0,0.0,0.051,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c1.127-s07-ebab1479,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.127-s07-ebab1479.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.127-s07-ebab1479.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.127-s07-ebab1479.png,black,"(0, 0, 0)",1.127,neutral,7,neutral,6,0.0,0.0,0.061,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c0.967-s09-11d77498,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c0.967-s09-11d77498.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.967-s09-11d77498.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.967-s09-11d77498.png,black,"(0, 0, 0)",0.967,neutral,9,neutral,4,0.0,0.0,0.071,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c1.219-s07-1f63f0bb,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c1.219-s07-1f63f0bb.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.219-s07-1f63f0bb.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c1.219-s07-1f63f0bb.png,black,"(0, 0, 0)",1.219,neutral,7,neutral,4,0.0,0.0,0.081,22,14,2,8,0,2,16,flat,thin,True
black-neutral-neutral-c0.929-s09-11031dcc,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black/neutral/neutral/black-neutral-neutral-c0.929-s09-11031dcc.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.929-s09-11031dcc.png,images_balanced/black/neutral/neutral/black-neutral-neutral-c0.929-s09-11031dcc.png,black,"(0, 0, 0)",0.929,neutral,9,neutral,4,0.0,0.0,0.091,22,14,2,8,0,2,16,flat,thin,True
