slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,cap_roundness_zone,stem_width,stem_width_zone,assigned_value,cap_roundness_extremity,stem_width_extremity,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,ring_thickness,spot_radius,scale,requested_cap_zone,requested_stem_zone,in_neutral_rectangle
black-06-1.184-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-1.184-+2.png,images_balanced/black-06-1.184-+2.png,images_balanced/black-06-1.184-+2.png,black,"(0, 0, 0)",1.184,neutral,6,neutral,2,0.0,0.0,0.0,22,14,2,8,0,2,16,flat,thin,True
black-09-0.934-+3,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.934-+3.png,images_balanced/black-09-0.934-+3.png,images_balanced/black-09-0.934-+3.png,black,"(0, 0, 0)",0.934,neutral,9,neutral,3,0.0,0.0,0.01,22,14,2,8,0,2,16,flat,thin,True
black-06-0.819-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-0.819-+2.png,images_balanced/black-06-0.819-+2.png,images_balanced/black-06-0.819-+2.png,black,"(0, 0, 0)",0.819,neutral,6,neutral,2,0.0,0.0,0.02,22,14,2,8,0,2,16,flat,thin,True
black-09-1.137-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.137-+2.png,images_balanced/black-09-1.137-+2.png,images_balanced/black-09-1.137-+2.png,black,"(0, 0, 0)",1.137,neutral,9,neutral,2,0.0,0.0,0.03,22,14,2,8,0,2,16,flat,thin,True
black-07-1.070-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.070-+2.png,images_balanced/black-07-1.070-+2.png,images_balanced/black-07-1.070-+2.png,black,"(0, 0, 0)",1.07,neutral,7,neutral,2,0.0,0.0,0.04,22,14,2,8,0,2,16,flat,thin,True
black-07-1.219-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.219-+2.png,images_balanced/black-07-1.219-+2.png,images_balanced/black-07-1.219-+2.png,black,"(0, 0, 0)",1.219,neutral,7,neutral,2,0.0,0.0,0.051,22,14,2,8,0,2,16,flat,thin,True
black-07-1.374-+3,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.374-+3.png,images_balanced/black-07-1.374-+3.png,images_balanced/black-07-1.374-+3.png,black,"(0, 0, 0)",1.374,neutral,7,neutral,3,0.0,0.0,0.061,22,14,2,8,0,2,16,flat,thin,True
black-09-0.858-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.858-+2.png,images_balanced/black-09-0.858-+2.png,images_balanced/black-09-0.858-+2.png,black,"(0, 0, 0)",0.858,neutral,9,neutral,2,0.0,0.0,0.071,22,14,2,8,0,2,16,flat,thin,True
black-08-1.238-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-1.238-+2.png,images_balanced/black-08-1.238-+2.png,images_balanced/black-08-1.238-+2.png,black,"(0, 0, 0)",1.238,neutral,8,neutral,2,0.0,0.0,0.081,22,14,2,8,0,2,16,flat,thin,True
black-09-1.131-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.131-+2.png,images_balanced/black-09-1.131-+2.png,images_balanced/black-09-1.131-+2.png,black,"(0, 0, 0)",1.131,neutral,9,neutral,2,0.0,0.0,0.091,22,14,2,8,0,2,16,flat,thin,True
black-06-1.223-+3,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-1.223-+3.png,images_balanced/black-06-1.223-+3.png,images_balanced/black-06-1.223-+3.png,black,"(0, 0, 0)",1.223,neutral,6,neutral,3,0.0,0.0,0.101,22,14,2,8,0,2,16,flat,thin,True
black-09-1.391-+3,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.391-+3.png,images_balanced/black-09-1.391-+3.png,images_balanced/black-09-1.391-+3.png,black,"(0, 0, 0)",1.391,neutral,9,neutral,3,0.0,0.0,0.111,22,14,2,8,0,2,16,flat,thin,True
black-09-0.967-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.967-+2.png,images_balanced/black-09-0.967-+2.png,images_balanced/black-09-0.967-+2.png,black,"(0, 0, 0)",0.967,neutral,9,neutral,2,0.0,0.0,0.121,22,14,2,8,0,2,16,flat,thin,True
black-07-1.022-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.022-+2.png,images_balanced/black-07-1.022-+2.png,images_balanced/black-07-1.022-+2.png,black,"(0, 0, 0)",1.022,neutral,7,neutral,2,0.0,0.0,0.131,22,14,2,8,0,2,16,flat,thin,True
black-07-1.165-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.165-+2.png,images_balanced/black-07-1.165-+2.png,images_balanced/black-07-1.165-+2.png,black,"(0, 0, 0)",1.165,neutral,7,neutral,2,0.0,0.0,0.141,22,14,2,8,0,2,16,flat,thin,True
black-07-1.077-+3,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.077-+3.png,images_balanced/black-07-1.077-+3.png,images_balanced/black-07-1.077-+3.png,black,"(0, 0, 0)",1.077,neutral,7,neutral,3,0.0,0.0,0.152,22,14,2,8,0,2,16,flat,thin,True
black-09-1.306-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.306-+2.png,images_balanced/black-09-1.306-+2.png,images_balanced/black-09-1.306-+2.png,black,"(0, 0, 0)",1.306,neutral,9,neutral,2,0.0,0.0,0.162,22,14,2,8,0,2,16,flat,thin,True
black-08-1.283-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-1.283-+2.png,images_balanced/black-08-1.283-+2.png,images_balanced/black-08-1.283-+2.png,black,"(0, 0, 0)",1.283,neutral,8,neutral,2,0.0,0.0,0.172,22,14,2,8,0,2,16,flat,thin,True
black-08-1.348-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-1.348-+2.png,images_balanced/black-08-1.348-+2.png,images_balanced/black-08-1.348-+2.png,black,"(0, 0, 0)",1.348,neutral,8,neutral,2,0.0,0.0,0.182,22,14,2,8,0,2,16,flat,thin,True
black-08-1.193-+2,/Users/jianleguo/Desktop/DALE/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-1.193-+2.png,images_balanced/black-08-1.193-+2.png,images_balanced/black-08-1.193-+2.png,black,"(0, 0, 0)",1.193,neutral,8,neutral,2,0.0,0.0,0.192,22,14,2,8,0,2,16,flat,thin,True
