slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,stem_width,cap_type_bin_3,stem_type_bin_3,cap_roundness_zone,stem_width_zone,cap_value_range_3,stem_value_range_3,cap_heatmap_bin_9,stem_heatmap_bin_9,type_id_within_color_1to9,global_type_id_1to72,is_noisy_type,noise_type,noise_alpha,gaussian_noise_mean,gaussian_noise_std,gaussian_noise_value,assigned_value_original,assigned_value_pre_noise,assigned_value_bin_anchor,assigned_value_nk_raw,assigned_value_nk_clipped,nk_cap_weight_bin1,nk_cap_weight_bin2,nk_cap_weight_bin3,nk_stem_weight_bin1,nk_stem_weight_bin2,nk_stem_weight_bin3,assigned_value_mixed_raw,assigned_value_mixed_clipped,assigned_value,reward_range_3,noise_delta,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,spot_radius,scale,have_ring,ring_position,have_pattern,pattern_type,pattern_label,external,in_neutral_rectangle
black-stem03-cap0p200-clean-+1-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem03-cap0p200-clean-+1-r0-none-p2.png,images_balanced/black-stem03-cap0p200-clean-+1-r0-none-p2.png,images_balanced/black-stem03-cap0p200-clean-+1-r0-none-p2.png,black,"(0, 0, 0)",0.2,3,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,middle,0,0.0,22,14,2,8,2,16,False,none,True,2,stripes,True,False
black-stem04-cap0p200-clean-+1-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem04-cap0p200-clean-+1-r1-bottom-p1.png,images_balanced/black-stem04-cap0p200-clean-+1-r1-bottom-p1.png,images_balanced/black-stem04-cap0p200-clean-+1-r1-bottom-p1.png,black,"(0, 0, 0)",0.2,4,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,1.1959,1.1959,1.0,0.0,0.0,0.943945,0.046615,0.00944,1.1959,1.1959,1,middle,0,0.001,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
black-stem05-cap0p200-clean-+2-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem05-cap0p200-clean-+2-r0-none-p1.png,images_balanced/black-stem05-cap0p200-clean-+2-r0-none-p1.png,images_balanced/black-stem05-cap0p200-clean-+2-r0-none-p1.png,black,"(0, 0, 0)",0.2,5,1,1,low,low,low,low,1,2,1,1,False,0,0.0,0.0,5.0,0.0,2,2,1,1.985169,1.985169,1.0,0.0,0.0,0.726789,0.23732,0.035891,1.985169,1.985169,2,middle,0,0.003,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem06-cap0p200-clean-+3-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem06-cap0p200-clean-+3-r1-bottom-p0.png,images_balanced/black-stem06-cap0p200-clean-+3-r1-bottom-p0.png,images_balanced/black-stem06-cap0p200-clean-+3-r1-bottom-p0.png,black,"(0, 0, 0)",0.2,6,1,1,low,low,low,low,1,3,1,1,False,0,0.0,0.0,5.0,0.0,3,3,1,3.286509,3.286509,1.0,0.0,0.0,0.387503,0.558004,0.054493,3.286509,3.286509,3,middle,0,0.004,22,14,2,8,2,16,True,bottom,False,0,none,True,False
black-stem07-cap0p200-clean-+4-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem07-cap0p200-clean-+4-r1-top-p0.png,images_balanced/black-stem07-cap0p200-clean-+4-r1-top-p0.png,images_balanced/black-stem07-cap0p200-clean-+4-r1-top-p0.png,black,"(0, 0, 0)",0.2,7,1,2,low,middle,low,middle,1,4,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.409834,4.409834,1.0,0.0,0.0,0.118517,0.842784,0.038699,4.409834,4.409834,4,high,0,0.006,22,14,2,8,2,16,True,top,False,0,none,True,False
black-stem08-cap0p200-clean-+5-r1-top-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem08-cap0p200-clean-+5-r1-top-p2.png,images_balanced/black-stem08-cap0p200-clean-+5-r1-top-p2.png,images_balanced/black-stem08-cap0p200-clean-+5-r1-top-p2.png,black,"(0, 0, 0)",0.2,8,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.940179,4.940179,1.0,0.0,0.0,0.009834,0.983338,0.006829,4.940179,4.940179,5,high,0,0.007,22,14,2,8,2,16,True,top,True,2,stripes,True,False
black-stem09-cap0p200-clean-+5-r1-top-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem09-cap0p200-clean-+5-r1-top-p1.png,images_balanced/black-stem09-cap0p200-clean-+5-r1-top-p1.png,images_balanced/black-stem09-cap0p200-clean-+5-r1-top-p1.png,black,"(0, 0, 0)",0.2,9,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.943184,4.943184,1.0,0.0,0.0,0.006829,0.983338,0.009834,4.943184,4.943184,5,high,0,0.008,22,14,2,8,2,16,True,top,True,1,spots,True,False
black-stem10-cap0p200-clean-+4-r1-bottom-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem10-cap0p200-clean-+4-r1-bottom-p2.png,images_balanced/black-stem10-cap0p200-clean-+4-r1-bottom-p2.png,images_balanced/black-stem10-cap0p200-clean-+4-r1-bottom-p2.png,black,"(0, 0, 0)",0.2,10,1,2,low,middle,low,middle,1,6,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.489651,4.489651,1.0,0.0,0.0,0.038699,0.842784,0.118517,4.489651,4.489651,4,high,0,0.01,22,14,2,8,2,16,True,bottom,True,2,stripes,True,False
black-stem11-cap0p200-clean-+4-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem11-cap0p200-clean-+4-r0-none-p0.png,images_balanced/black-stem11-cap0p200-clean-+4-r0-none-p0.png,images_balanced/black-stem11-cap0p200-clean-+4-r0-none-p0.png,black,"(0, 0, 0)",0.2,11,1,3,low,high,low,high,1,7,3,3,False,0,0.0,0.0,5.0,0.0,4,4,2,3.61952,3.61952,1.0,0.0,0.0,0.054493,0.558004,0.387503,3.61952,3.61952,4,high,0,0.011,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem12-cap0p200-clean-+3-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem12-cap0p200-clean-+3-r0-none-p0.png,images_balanced/black-stem12-cap0p200-clean-+3-r0-none-p0.png,images_balanced/black-stem12-cap0p200-clean-+3-r0-none-p0.png,black,"(0, 0, 0)",0.2,12,1,3,low,high,low,high,1,8,3,3,False,0,0.0,0.0,5.0,0.0,3,3,2,2.676068,2.676068,1.0,0.0,0.0,0.035891,0.23732,0.726789,2.676068,2.676068,3,middle,0,0.013,22,14,2,8,2,16,False,none,False,0,none,False,False
