id,trial_index,trial_type,time_elapsed,response,rt,is_extra,color,extra_reason,seen_type,unseen_type,difficulty_label,difficulty_bin,metric_name,metric_diff,raw_value_diff,separation_mode,separation_line,cross_side,lure_bin,lure_bins_present_1,lure_side,lure_sides_1,left_mushroom_name,left_mushroom_image,left_mushroom_value,left_mushroom_type_key,left_mushroom_status,left_mushroom_lure_bin,left_mushroom_lure_distance_norm,left_mushroom_lure_anchor_image,left_mushroom_lure_anchor_type,left_mushroom_lure_anchor_scope,right_mushroom_name,right_mushroom_image,right_mushroom_value,right_mushroom_type_key,right_mushroom_status,right_mushroom_lure_bin,right_mushroom_lure_distance_norm,right_mushroom_lure_anchor_image,right_mushroom_lure_anchor_type,right_mushroom_lure_anchor_scope,selected_side,selected_mushroom_name,selected_mushroom_image,selected_mushroom_value,selected_mushroom_type_key,selected_mushroom_status,selected_mushroom_lure_bin,selected_mushroom_lure_distance_norm,other_mushroom_name,other_mushroom_image,other_mushroom_value,other_mushroom_type_key,other_mushroom_status,other_mushroom_lure_bin,other_mushroom_lure_distance_norm,correct,lure_bins_present_2,lure_sides_2,__source_file__,__row_in_file__,tested_mushroom_name,tested_mushroom_image,tested_mushroom_value,tested_mushroom_type_key,tested_mushroom_lure_bin,tested_mushroom_lure_distance_norm,tested_mushroom_lure_anchor_image,tested_mushroom_lure_anchor_type,tested_mushroom_lure_anchor_scope,event,threshold_ms,phase,memory_subphase,_pid,left_stem_type,left_cap_type,left_stem_size,left_cap_round,left_stim72_id,right_stem_type,right_cap_type,right_stem_size,right_cap_round,right_stim72_id,selected_stem_type,selected_cap_type,selected_stem_size,selected_cap_round,selected_stim72_id,other_stem_type,other_cap_type,other_stem_size,other_cap_round,other_stim72_id,tested_stem_type,tested_cap_type,tested_stem_size,tested_cap_round,tested_stim72_id,chosen_side,chosen_stim72_id,chosen_stem_type,chosen_cap_type,chosen_cap_props,memory_trial_key,lure_bin_trial,difficulty_bin_trial,difficulty_label_trial,separation_mode_trial,cross_side_trial,seen_type_trial,unseen_type_trial,left_mushroom_image_trial,right_mushroom_image_trial,left_mushroom_status_trial,right_mushroom_status_trial,selected_mushroom_status_trial,other_mushroom_status_trial,left_mushroom_lure_bin_trial,right_mushroom_lure_bin_trial,selected_mushroom_lure_bin_trial,other_mushroom_lure_bin_trial,tested_mushroom_lure_bin_trial,memory_lure_bin,memory_difficulty_bin,memory_difficulty_label,memory_color_pair_type,memory_seen_pair_type
55bb9ae7fdf99b26d27fda01,0,memory_choice,2307810,,2591.2000000029802,1,yellow,within_color_far,c:yellow|s:thick|r:round,c:yellow|s:neutral|r:flat,far,3,abs(abs(v-line)_diff),2,6,zero_classifier,0,true,1,1,left,left,yellow-10-0.391--4,yellow-10-0.391--4.png,-4,c:yellow|s:neutral|r:flat,unseen_extra,1,0.3333333333333333,yellow-08-0.332--1.png,c:yellow|s:neutral|r:flat,type,yellow-14-1.994-+2,yellow-14-1.994-+2.png,2,c:yellow|s:thick|r:round,seen_extra,,,,,,right,yellow-14-1.994-+2,yellow-14-1.994-+2.png,2,c:yellow|s:thick|r:round,seen_extra,,,yellow-10-0.391--4,yellow-10-0.391--4.png,-4,c:yellow|s:neutral|r:flat,unseen_extra,1,0.3333333333333333,1,,,data_55bb9ae7fdf99b26d27fda01.csv,998,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,neutral,flat,10,0.391,67,thick,round,14,1.994,72,thick,round,14,1.994,72,neutral,flat,10,0.391,67,neutral,neutral,,,,right,72,thick,round,stem=thick|cap=round,55bb9ae7fdf99b26d27fda01|0,1,3,far,zero_classifier,true,c:yellow|s:thick|r:round,c:yellow|s:neutral|r:flat,yellow-10-0.391--4.png,yellow-14-1.994-+2.png,unseen_extra,seen_extra,seen_extra,unseen_extra,1,,,1,,1,3,far,within_color,seen_vs_unseen
55bb9ae7fdf99b26d27fda01,1,memory_choice,2309907.399999991,,989.8999999910593,1,white,within_color_far,c:white|s:thin|r:round,c:white|s:neutral|r:neutral,far,3,abs(abs(v-line)_diff),2,4,zero_classifier,0,true,2,2,left,left,white-08-0.965-+1,white-08-0.965-+1.png,1,c:white|s:neutral|r:neutral,unseen_extra,2,0.041999999999999926,white-08-0.923-+1.png,c:white|s:neutral|r:neutral,type,white-04-1.514--3,white-04-1.514--3.png,-3,c:white|s:thin|r:round,seen_extra,,,,,,right,white-04-1.514--3,white-04-1.514--3.png,-3,c:white|s:thin|r:round,seen_extra,,,white-08-0.965-+1,white-08-0.965-+1.png,1,c:white|s:neutral|r:neutral,unseen_extra,2,0.041999999999999926,0,,,data_55bb9ae7fdf99b26d27fda01.csv,999,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,neutral,neutral,8,0.965,59,thin,round,4,1.514,57,thin,round,4,1.514,57,neutral,neutral,8,0.965,59,neutral,neutral,,,,right,57,thin,round,stem=thin|cap=round,55bb9ae7fdf99b26d27fda01|1,2,3,far,zero_classifier,true,c:white|s:thin|r:round,c:white|s:neutral|r:neutral,white-08-0.965-+1.png,white-04-1.514--3.png,unseen_extra,seen_extra,seen_extra,unseen_extra,2,,,2,,2,3,far,within_color,seen_vs_unseen
55bb9ae7fdf99b26d27fda01,2,memory_choice,2312512.199999988,,1391.7000000029802,1,red,within_color_middle,c:red|s:neutral|r:neutral,c:red|s:thin|r:neutral,middle,2,abs(abs(v-line)_diff),2,3,range_middle,5.5,true,2,2,right,right,red-08-0.963-+6,red-08-0.963-+6.png,6,c:red|s:neutral|r:neutral,seen_extra,,,,,,red-03-0.896-+3,red-03-0.896-+3.png,3,c:red|s:thin|r:neutral,unseen_extra,2,0.051000000000000045,red-05-0.845-+2.png,c:red|s:thin|r:neutral,type,left,red-08-0.963-+6,red-08-0.963-+6.png,6,c:red|s:neutral|r:neutral,seen_extra,,,red-03-0.896-+3,red-03-0.896-+3.png,3,c:red|s:thin|r:neutral,unseen_extra,2,0.051000000000000045,1,,,data_55bb9ae7fdf99b26d27fda01.csv,1000,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,neutral,neutral,8,0.963,50,thin,neutral,3,0.896,47,neutral,neutral,8,0.963,50,thin,neutral,3,0.896,47,neutral,neutral,,,,left,50,neutral,neutral,stem=neutral|cap=neutral,55bb9ae7fdf99b26d27fda01|2,2,2,middle,range_middle,true,c:red|s:neutral|r:neutral,c:red|s:thin|r:neutral,red-08-0.963-+6.png,red-03-0.896-+3.png,seen_extra,unseen_extra,seen_extra,unseen_extra,,2,,2,,2,2,middle,within_color,seen_vs_unseen
55bb9ae7fdf99b26d27fda01,3,memory_choice,2315346.099999994,,1753.8999999910593,0,,,,,,,,,,,,,,,,,yellow-08-0.598--1,yellow-08-0.598--1.png,-1,c:yellow|s:neutral|r:flat,seen,,,,,,cyan-06-0.715-+9,cyan-06-0.715-+9.png,9,c:cyan|s:neutral|r:flat,seen_fallback,,,,,,right,cyan-06-0.715-+9,cyan-06-0.715-+9.png,9,c:cyan|s:neutral|r:flat,seen_fallback,,,yellow-08-0.598--1,yellow-08-0.598--1.png,-1,c:yellow|s:neutral|r:flat,seen,,,1,,,data_55bb9ae7fdf99b26d27fda01.csv,1001,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,neutral,flat,8,0.598,67,neutral,flat,6,0.715,22,neutral,flat,6,0.715,22,neutral,flat,8,0.598,67,neutral,neutral,,,,right,22,neutral,flat,stem=neutral|cap=flat,55bb9ae7fdf99b26d27fda01|3,,,,,,,,yellow-08-0.598--1.png,cyan-06-0.715-+9.png,seen,seen_fallback,seen_fallback,seen,,,,,,,,,cross_color,seen_vs_seen
55bb9ae7fdf99b26d27fda01,4,memory_choice,2316965.699999988,,565.6000000089407,1,white,within_color_close,c:white|s:thin|r:round,c:white|s:thick|r:flat,close,1,abs(abs(v-line)_diff),1,5,zero_classifier,0,true,2,2,right,right,white-04-1.994--3,white-04-1.994--3.png,-3,c:white|s:thin|r:round,seen_extra,,,,,,white-12-0.202-+2,white-12-0.202-+2.png,2,c:white|s:thick|r:flat,unseen_extra,2,0,white-14-0.225-+3.png,c:white|s:thick|r:flat,type,left,white-04-1.994--3,white-04-1.994--3.png,-3,c:white|s:thin|r:round,seen_extra,,,white-12-0.202-+2,white-12-0.202-+2.png,2,c:white|s:thick|r:flat,unseen_extra,2,0,0,,,data_55bb9ae7fdf99b26d27fda01.csv,1002,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thin,round,4,1.994,57,thick,flat,12,0.202,61,thin,round,4,1.994,57,thick,flat,12,0.202,61,neutral,neutral,,,,left,57,thin,round,stem=thin|cap=round,55bb9ae7fdf99b26d27fda01|4,2,1,close,zero_classifier,true,c:white|s:thin|r:round,c:white|s:thick|r:flat,white-04-1.994--3.png,white-12-0.202-+2.png,seen_extra,unseen_extra,seen_extra,unseen_extra,,2,,2,,2,1,close,within_color,seen_vs_unseen
55bb9ae7fdf99b26d27fda01,5,memory_choice,2319317.699999988,,1282.7999999970198,0,,,,,,,,,,,,,2,2,right,right,black-13-1.998-+6,black-13-1.998-+6.png,6,c:black|s:thick|r:round,seen_fallback,,,,,,green-14-1.250--1,green-14-1.250--1.png,-1,c:green|s:thick|r:neutral,seen,2,0.131,green-13-1.119-+2.png,c:green|s:thick|r:neutral,type,right,green-14-1.250--1,green-14-1.250--1.png,-1,c:green|s:thick|r:neutral,seen,2,0.131,black-13-1.998-+6,black-13-1.998-+6.png,6,c:black|s:thick|r:round,seen_fallback,,,0,,,data_55bb9ae7fdf99b26d27fda01.csv,1003,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thick,round,13,1.998,9,thick,neutral,14,1.25,35,thick,neutral,14,1.25,35,thick,round,13,1.998,9,neutral,neutral,,,,right,35,thick,neutral,stem=thick|cap=neutral,55bb9ae7fdf99b26d27fda01|5,2,,,,,,,black-13-1.998-+6.png,green-14-1.250--1.png,seen_fallback,seen,seen,seen_fallback,,2,2,,,2,,,cross_color,seen_vs_seen
55bb9ae7fdf99b26d27fda01,6,memory_choice,2321361.099999994,,952.7000000029802,0,,,,,,,,,,,,,,2,,left,white-14-1.778-+4,white-14-1.778-+4.png,4,c:white|s:thick|r:round,seen,2,0,white-14-1.913-+2.png,c:white|s:thick|r:round,type,cyan-04-1.739-+7,cyan-04-1.739-+7.png,7,c:cyan|s:thin|r:round,seen_fallback,2,0,cyan-04-1.684-+9.png,c:cyan|s:thin|r:round,type,right,cyan-04-1.739-+7,cyan-04-1.739-+7.png,7,c:cyan|s:thin|r:round,seen_fallback,2,0,white-14-1.778-+4,white-14-1.778-+4.png,4,c:white|s:thick|r:round,seen,2,0,1,2,right,data_55bb9ae7fdf99b26d27fda01.csv,1004,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thick,round,14,1.778,63,thin,round,4,1.739,21,thin,round,4,1.739,21,thick,round,14,1.778,63,neutral,neutral,,,,right,21,thin,round,stem=thin|cap=round,55bb9ae7fdf99b26d27fda01|6,,,,,,,,white-14-1.778-+4.png,cyan-04-1.739-+7.png,seen,seen_fallback,seen_fallback,seen,2,2,2,2,,2,,,cross_color,seen_vs_seen
55bb9ae7fdf99b26d27fda01,7,memory_choice,2323259.399999991,,816.2000000029802,1,cyan,within_color_middle,c:cyan|s:thin|r:neutral,c:cyan|s:thick|r:neutral,middle,2,abs(abs(v-line)_diff),4,6,zero_classifier,0,true,2,2,left,left,cyan-12-1.037--1,cyan-12-1.037--1.png,-1,c:cyan|s:thick|r:neutral,unseen_extra,2,0.028999999999999915,cyan-13-1.008-+1.png,c:cyan|s:thick|r:neutral,type,cyan-04-1.079-+5,cyan-04-1.079-+5.png,5,c:cyan|s:thin|r:neutral,seen_extra,,,,,,left,cyan-12-1.037--1,cyan-12-1.037--1.png,-1,c:cyan|s:thick|r:neutral,unseen_extra,2,0.028999999999999915,cyan-04-1.079-+5,cyan-04-1.079-+5.png,5,c:cyan|s:thin|r:neutral,seen_extra,,,0,,,data_55bb9ae7fdf99b26d27fda01.csv,1005,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thick,neutral,12,1.037,26,thin,neutral,4,1.079,20,thick,neutral,12,1.037,26,thin,neutral,4,1.079,20,neutral,neutral,,,,left,26,thick,neutral,stem=thick|cap=neutral,55bb9ae7fdf99b26d27fda01|7,2,2,middle,zero_classifier,true,c:cyan|s:thin|r:neutral,c:cyan|s:thick|r:neutral,cyan-12-1.037--1.png,cyan-04-1.079-+5.png,unseen_extra,seen_extra,unseen_extra,seen_extra,2,,2,,,2,2,middle,within_color,seen_vs_unseen
55bb9ae7fdf99b26d27fda01,8,memory_choice,2326374.599999994,,2025.2000000029802,0,,,,,,,,,,,,,,1,,left,green-03-1.989--1,green-03-1.989--1.png,-1,c:green|s:thin|r:round,seen,1,0.40669412475607647,green-08-1.367-+1.png,c:green|s:neutral|r:neutral,color,black-03-2.000-+2,black-03-2.000-+2.png,2,c:black|s:thin|r:round,seen_fallback,1,0.4245940544933609,black-08-1.337-+3.png,c:black|s:neutral|r:neutral,color,left,green-03-1.989--1,green-03-1.989--1.png,-1,c:green|s:thin|r:round,seen,1,0.40669412475607647,black-03-2.000-+2,black-03-2.000-+2.png,2,c:black|s:thin|r:round,seen_fallback,1,0.4245940544933609,0,1,right,data_55bb9ae7fdf99b26d27fda01.csv,1006,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thin,round,3,1.989,30,thin,round,3,2.0,3,thin,round,3,1.989,30,thin,round,3,2.0,3,neutral,neutral,,,,left,30,thin,round,stem=thin|cap=round,55bb9ae7fdf99b26d27fda01|8,,,,,,,,green-03-1.989--1.png,black-03-2.000-+2.png,seen,seen_fallback,seen,seen_fallback,1,1,1,1,,1,,,cross_color,seen_vs_seen
55bb9ae7fdf99b26d27fda01,9,memory_choice,2329005.699999988,,1562.0999999940395,0,,,,,,,,,,,,,,2,,left,magenta-14-1.788--4,magenta-14-1.788--4.png,-4,c:magenta|s:thick|r:round,seen_fallback,2,0,magenta-14-1.999--3.png,c:magenta|s:thick|r:round,type,magenta-07-2.000--5,magenta-07-2.000--5.png,-5,c:magenta|s:neutral|r:round,seen,2,0.16666666666666666,magenta-08-1.665--5.png,c:magenta|s:neutral|r:round,type,right,magenta-07-2.000--5,magenta-07-2.000--5.png,-5,c:magenta|s:neutral|r:round,seen,2,0.16666666666666666,magenta-14-1.788--4,magenta-14-1.788--4.png,-4,c:magenta|s:thick|r:round,seen_fallback,2,0,0,2,right,data_55bb9ae7fdf99b26d27fda01.csv,1007,,,,,,,,,,,,memory,value_judgment,55bb9ae7fdf99b26d27fda01,thick,round,14,1.788,45,neutral,round,7,2.0,42,neutral,round,7,2.0,42,thick,round,14,1.788,45,neutral,neutral,,,,right,42,neutral,round,stem=neutral|cap=round,55bb9ae7fdf99b26d27fda01|9,,,,,,,,magenta-14-1.788--4.png,magenta-07-2.000--5.png,seen_fallback,seen,seen,seen_fallback,2,2,2,2,,2,,,within_color,seen_vs_seen
