slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,cap_roundness_zone,stem_width,stem_width_zone,assigned_value,cap_roundness_extremity,stem_width_extremity,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,ring_thickness,spot_radius,scale,requested_cap_zone,requested_stem_zone,in_neutral_rectangle
black-06-1.184-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-1.184-+4.png,images_balanced/black-06-1.184-+4.png,images_balanced/black-06-1.184-+4.png,black,"(0, 0, 0)",1.184,neutral,6,neutral,4,0.0,0.0,0.0,22,14,2,8,0,2,16,flat,thin,True
black-09-0.934-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.934-+6.png,images_balanced/black-09-0.934-+6.png,images_balanced/black-09-0.934-+6.png,black,"(0, 0, 0)",0.934,neutral,9,neutral,6,0.0,0.0,0.01,22,14,2,8,0,2,16,flat,thin,True
black-06-1.335-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-1.335-+4.png,images_balanced/black-06-1.335-+4.png,images_balanced/black-06-1.335-+4.png,black,"(0, 0, 0)",1.335,neutral,6,neutral,4,0.0,0.0,0.02,22,14,2,8,0,2,16,flat,thin,True
black-07-0.818-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-0.818-+6.png,images_balanced/black-07-0.818-+6.png,images_balanced/black-07-0.818-+6.png,black,"(0, 0, 0)",0.818,neutral,7,neutral,6,0.0,0.0,0.03,22,14,2,8,0,2,16,flat,thin,True
black-07-0.816-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-0.816-+6.png,images_balanced/black-07-0.816-+6.png,images_balanced/black-07-0.816-+6.png,black,"(0, 0, 0)",0.816,neutral,7,neutral,6,0.0,0.0,0.04,22,14,2,8,0,2,16,flat,thin,True
black-07-1.127-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.127-+5.png,images_balanced/black-07-1.127-+5.png,images_balanced/black-07-1.127-+5.png,black,"(0, 0, 0)",1.127,neutral,7,neutral,5,0.0,0.0,0.051,22,14,2,8,0,2,16,flat,thin,True
black-06-1.286-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-1.286-+6.png,images_balanced/black-06-1.286-+6.png,images_balanced/black-06-1.286-+6.png,black,"(0, 0, 0)",1.286,neutral,6,neutral,6,0.0,0.0,0.061,22,14,2,8,0,2,16,flat,thin,True
black-07-1.054-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.054-+5.png,images_balanced/black-07-1.054-+5.png,images_balanced/black-07-1.054-+5.png,black,"(0, 0, 0)",1.054,neutral,7,neutral,5,0.0,0.0,0.071,22,14,2,8,0,2,16,flat,thin,True
black-08-0.861-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-0.861-+5.png,images_balanced/black-08-0.861-+5.png,images_balanced/black-08-0.861-+5.png,black,"(0, 0, 0)",0.861,neutral,8,neutral,5,0.0,0.0,0.081,22,14,2,8,0,2,16,flat,thin,True
black-09-1.162-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.162-+5.png,images_balanced/black-09-1.162-+5.png,images_balanced/black-09-1.162-+5.png,black,"(0, 0, 0)",1.162,neutral,9,neutral,5,0.0,0.0,0.091,22,14,2,8,0,2,16,flat,thin,True
black-10-1.122-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-10-1.122-+4.png,images_balanced/black-10-1.122-+4.png,images_balanced/black-10-1.122-+4.png,black,"(0, 0, 0)",1.122,neutral,10,neutral,4,0.0,0.0,0.101,22,14,2,8,0,2,16,flat,thin,True
black-09-1.131-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.131-+5.png,images_balanced/black-09-1.131-+5.png,images_balanced/black-09-1.131-+5.png,black,"(0, 0, 0)",1.131,neutral,9,neutral,5,0.0,0.0,0.111,22,14,2,8,0,2,16,flat,thin,True
black-09-1.146-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.146-+6.png,images_balanced/black-09-1.146-+6.png,images_balanced/black-09-1.146-+6.png,black,"(0, 0, 0)",1.146,neutral,9,neutral,6,0.0,0.0,0.121,22,14,2,8,0,2,16,flat,thin,True
black-07-0.937-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-0.937-+4.png,images_balanced/black-07-0.937-+4.png,images_balanced/black-07-0.937-+4.png,black,"(0, 0, 0)",0.937,neutral,7,neutral,4,0.0,0.0,0.131,22,14,2,8,0,2,16,flat,thin,True
black-08-1.320-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-1.320-+6.png,images_balanced/black-08-1.320-+6.png,images_balanced/black-08-1.320-+6.png,black,"(0, 0, 0)",1.32,neutral,8,neutral,6,0.0,0.0,0.141,22,14,2,8,0,2,16,flat,thin,True
black-07-1.300-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.300-+4.png,images_balanced/black-07-1.300-+4.png,images_balanced/black-07-1.300-+4.png,black,"(0, 0, 0)",1.3,neutral,7,neutral,4,0.0,0.0,0.152,22,14,2,8,0,2,16,flat,thin,True
black-09-1.202-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-1.202-+6.png,images_balanced/black-09-1.202-+6.png,images_balanced/black-09-1.202-+6.png,black,"(0, 0, 0)",1.202,neutral,9,neutral,6,0.0,0.0,0.162,22,14,2,8,0,2,16,flat,thin,True
black-09-0.843-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.843-+6.png,images_balanced/black-09-0.843-+6.png,images_balanced/black-09-0.843-+6.png,black,"(0, 0, 0)",0.843,neutral,9,neutral,6,0.0,0.0,0.172,22,14,2,8,0,2,16,flat,thin,True
black-08-0.947-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-08-0.947-+6.png,images_balanced/black-08-0.947-+6.png,images_balanced/black-08-0.947-+6.png,black,"(0, 0, 0)",0.947,neutral,8,neutral,6,0.0,0.0,0.182,22,14,2,8,0,2,16,flat,thin,True
black-07-1.213-+4,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.213-+4.png,images_balanced/black-07-1.213-+4.png,images_balanced/black-07-1.213-+4.png,black,"(0, 0, 0)",1.213,neutral,7,neutral,4,0.0,0.0,0.192,22,14,2,8,0,2,16,flat,thin,True
black-06-0.937-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-0.937-+5.png,images_balanced/black-06-0.937-+5.png,images_balanced/black-06-0.937-+5.png,black,"(0, 0, 0)",0.937,neutral,6,neutral,5,0.0,0.0,0.202,22,14,2,8,0,2,16,flat,thin,True
black-07-0.961-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-0.961-+6.png,images_balanced/black-07-0.961-+6.png,images_balanced/black-07-0.961-+6.png,black,"(0, 0, 0)",0.961,neutral,7,neutral,6,0.0,0.0,0.212,22,14,2,8,0,2,16,flat,thin,True
black-09-0.989-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-09-0.989-+6.png,images_balanced/black-09-0.989-+6.png,images_balanced/black-09-0.989-+6.png,black,"(0, 0, 0)",0.989,neutral,9,neutral,6,0.0,0.0,0.222,22,14,2,8,0,2,16,flat,thin,True
black-07-1.075-+6,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.075-+6.png,images_balanced/black-07-1.075-+6.png,images_balanced/black-07-1.075-+6.png,black,"(0, 0, 0)",1.075,neutral,7,neutral,6,0.0,0.0,0.232,22,14,2,8,0,2,16,flat,thin,True
black-07-1.137-+5,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-1.137-+5.png,images_balanced/black-07-1.137-+5.png,images_balanced/black-07-1.137-+5.png,black,"(0, 0, 0)",1.137,neutral,7,neutral,5,0.0,0.0,0.242,22,14,2,8,0,2,16,flat,thin,True
black-03-0.257-+0,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-03-0.257-+0.png,images_balanced/black-03-0.257-+0.png,images_balanced/black-03-0.257-+0.png,black,"(0, 0, 0)",0.257,flat,3,thin,0,0.929,1.0,0.253,22,14,2,8,0,2,16,flat,thin,False
black-06-0.555-+2,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-06-0.555-+2.png,images_balanced/black-06-0.555-+2.png,images_balanced/black-06-0.555-+2.png,black,"(0, 0, 0)",0.555,flat,6,thin,2,0.556,0.4,0.263,22,14,2,8,0,2,16,flat,thin,False
black-04-1.043-+3,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-04-1.043-+3.png,images_balanced/black-04-1.043-+3.png,images_balanced/black-04-1.043-+3.png,black,"(0, 0, 0)",1.043,neutral,4,thin,3,0.0,0.8,0.273,22,14,2,8,0,2,16,flat,thin,False
black-03-0.286--1,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-03-0.286--1.png,images_balanced/black-03-0.286--1.png,images_balanced/black-03-0.286--1.png,black,"(0, 0, 0)",0.286,flat,3,thin,-1,0.892,1.0,0.283,22,14,2,8,0,2,16,flat,thin,False
black-07-0.201-+1,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-07-0.201-+1.png,images_balanced/black-07-0.201-+1.png,images_balanced/black-07-0.201-+1.png,black,"(0, 0, 0)",0.201,flat,7,thin,1,0.999,0.2,0.293,22,14,2,8,0,2,16,flat,thin,False
black-03-0.221-+0,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-03-0.221-+0.png,images_balanced/black-03-0.221-+0.png,images_balanced/black-03-0.221-+0.png,black,"(0, 0, 0)",0.221,flat,3,thin,0,0.974,1.0,0.303,22,14,2,8,0,2,16,flat,thin,False
black-04-0.215--1,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-04-0.215--1.png,images_balanced/black-04-0.215--1.png,images_balanced/black-04-0.215--1.png,black,"(0, 0, 0)",0.215,flat,4,thin,-1,0.981,0.8,0.313,22,14,2,8,0,2,16,flat,thin,False
black-03-0.726-+0,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-03-0.726-+0.png,images_balanced/black-03-0.726-+0.png,images_balanced/black-03-0.726-+0.png,black,"(0, 0, 0)",0.726,flat,3,thin,0,0.342,1.0,0.323,22,14,2,8,0,2,16,flat,thin,False
black-05-0.203-+1,/Users/jianleguo/Desktop/MUSHROOM/Dimensionality_Reward_Setup/images_balanced/black-05-0.203-+1.png,images_balanced/black-05-0.203-+1.png,images_balanced/black-05-0.203-+1.png,black,"(0, 0, 0)",0.203,flat,5,thin,1,0.996,0.6,0.333,22,14,2,8,0,2,16,flat,thin,False
